date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:14	36455/36455	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:40%20GMT	https://www.hesappazarim.com/assets/img/1medal.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/1medal.png	(from https://www.hesappazarim.com/index.php)
12:56:14	52423/52423	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:40%20GMT	https://www.hesappazarim.com/assets/img/2medal.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/2medal.png	(from https://www.hesappazarim.com/index.php)
12:56:15	70223/70223	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:40%20GMT	https://www.hesappazarim.com/assets/img/3medal.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/3medal.png	(from https://www.hesappazarim.com/index.php)
12:56:15	88691/88691	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:41%20GMT	https://www.hesappazarim.com/assets/img/4medal.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/4medal.png	(from https://www.hesappazarim.com/index.php)
12:56:16	106287/106287	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:41%20GMT	https://www.hesappazarim.com/assets/img/5medal.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/5medal.png	(from https://www.hesappazarim.com/index.php)
12:56:16	112620/112620	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:46%20GMT	https://www.hesappazarim.com/assets/img/prime.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/prime.png	(from https://www.hesappazarim.com/index.php)
12:56:16	123722/123722	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:41%20GMT	https://www.hesappazarim.com/assets/img/6medal.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/6medal.png	(from https://www.hesappazarim.com/index.php)
12:56:16	136102/136102	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:44%20GMT	https://www.hesappazarim.com/assets/img/demir.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/demir.png	(from https://www.hesappazarim.com/index.php)
12:56:17	138674/138674	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:41%20GMT	https://www.hesappazarim.com/assets/img/altin.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/altin.png	(from https://www.hesappazarim.com/index.php)
12:56:17	139666/139666	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:44%20GMT	https://www.hesappazarim.com/assets/img/elmas.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/elmas.png	(from https://www.hesappazarim.com/index.php)
12:56:17	99467/99467	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Mar%202021%2017:41:43%20GMT	https://www.hesappazarim.com/assets/img/cape.png	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/img/cape.png	(from https://www.hesappazarim.com/index.php)
12:56:17	4105/4105	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2009:56:17%20GMT	https://www.hesappazarim.com/cdn-cgi/l/email-protection	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/cdn-cgi/l/email-protection.html	(from https://www.hesappazarim.com/index.php)
12:56:17	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262602b16-4d7%22	https://www.hesappazarim.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.hesappazarim.com/index.php)
12:56:17	85581/85581	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:49%20GMT	https://www.hesappazarim.com/assets/js/jquery.min.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/jquery.min.js	(from https://www.hesappazarim.com/index.php)
12:56:18	19188/19188	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:49%20GMT	https://www.hesappazarim.com/assets/js/popper.min.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/popper.min.js	(from https://www.hesappazarim.com/index.php)
12:56:18	50731/50731	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:48%20GMT	https://www.hesappazarim.com/assets/js/bootstrap.min.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/bootstrap.min.js	(from https://www.hesappazarim.com/index.php)
12:56:18	44342/44342	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:49%20GMT	https://www.hesappazarim.com/assets/js/owl.carousel.min.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/owl.carousel.min.js	(from https://www.hesappazarim.com/index.php)
12:56:18	21237/21237	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:48%20GMT	https://www.hesappazarim.com/assets/js/jquery.magnific-popup.min.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/jquery.magnific-popup.min.js	(from https://www.hesappazarim.com/index.php)
12:56:19	8785/8785	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:49%20GMT	https://www.hesappazarim.com/assets/js/wNumb.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/wNumb.js	(from https://www.hesappazarim.com/index.php)
12:56:19	22056/22056	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:49%20GMT	https://www.hesappazarim.com/assets/js/nouislider.min.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/nouislider.min.js	(from https://www.hesappazarim.com/index.php)
12:56:19	34695/34695	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:48%20GMT	https://www.hesappazarim.com/assets/js/isotope.pkgd.min.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/isotope.pkgd.min.js	(from https://www.hesappazarim.com/index.php)
12:56:19	538/538	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:48%20GMT	https://www.hesappazarim.com/assets/js/custom-isotop.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/custom-isotop.js	(from https://www.hesappazarim.com/index.php)
12:56:19	1067/1067	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:48%20GMT	https://www.hesappazarim.com/assets/js/jquery.counterup.min.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/jquery.counterup.min.js	(from https://www.hesappazarim.com/index.php)
12:56:20	8044/8044	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:49%20GMT	https://www.hesappazarim.com/assets/js/waypoints-min.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/waypoints-min.js	(from https://www.hesappazarim.com/index.php)
12:56:20	930/930	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:48%20GMT	https://www.hesappazarim.com/assets/js/clock-custom.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/clock-custom.js	(from https://www.hesappazarim.com/index.php)
12:56:20	7580/7580	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Mar%202021%2017:41:49%20GMT	https://www.hesappazarim.com/assets/js/main.js	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/js/main.js	(from https://www.hesappazarim.com/index.php)
12:56:21	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2025%20Mar%202021%2017:41:38%20GMT	https://www.hesappazarim.com/assets/fonts/fontawesome-webfont3e6e3e6e.eot?v=4.7.0	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/fonts/fontawesome-webfont3e6e3e6e3e6e.eot	(from https://www.hesappazarim.com/assets/css/font-awesome.min.css)
12:56:21	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2025%20Mar%202021%2017:41:40%20GMT	https://www.hesappazarim.com/assets/fonts/fontawesome-webfontd41dd41d.eot?	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/fonts/fontawesome-webfontd41dd41dd41d.eot	(from https://www.hesappazarim.com/assets/css/font-awesome.min.css)
12:56:21	77160/77160	---M--	200	added ('OK')	font/woff2	date:Thu,%2025%20Mar%202021%2017:41:39%20GMT	https://www.hesappazarim.com/assets/fonts/fontawesome-webfont3e6e3e6e.woff2?v=4.7.0	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/fonts/fontawesome-webfont3e6e3e6e3e6e.woff2	(from https://www.hesappazarim.com/assets/css/font-awesome.min.css)
12:56:21	98024/98024	---M--	200	added ('OK')	font/woff	date:Thu,%2025%20Mar%202021%2017:41:39%20GMT	https://www.hesappazarim.com/assets/fonts/fontawesome-webfont3e6e3e6e.woff?v=4.7.0	C:/Benim%20Web%20Sitem/test/www.hesappazarim.com/assets/fonts/fontawesome-webfont3e6e3e6e3e6e.woff	(from https://www.hesappazarim.com/assets/css/font-awesome.min.css)
